IndicatorCode,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,UHC_AVAILABILITY_SCORE,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH
GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,24.0,24.0,23.0,23.0,24.0,25.0,27.0,33.0,35.0,35.0,35.0,34.0,41.0,42.0,42.0,44.0,46.0,46.0,47.0,48.0,50.0,50.0,49.0,49.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,25.0,31.0,31.0,31.0,32.0,32.0,32.0,34.0,37.0,43.0,48.0,48.0,15.0,14.0,13.0,13.0,13.0,15.0,20.0,42.0,51.0,53.0,51.0,47.0,40.0,35.0,34.0,42.0,47.0,47.0,50.0,51.0,51.0,45.0,36.0,36.0,57.0,58.0,59.0,60.0,61.0,61.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,64.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,65.0,41.0,41.0,42.0,43.0,43.0,44.0,44.0,45.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,46.0,48.0,48.0,49.0,49.0,50.0,50.0,50.0,51.0
GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74578501623077,,,,13.805057094615384,13.959413257636363,13.272186496,10.394515926090909,10.99196274709091,13.324320587363637,13.834603168818182,13.140870754538462,12.467080363769231,12.217283927461539,12.540818251230768,11.287066248846154,11.704535392615384,13.337493162923076,13.208441074076923,17.094065926272727,,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,72.0,73.0,73.0,74.0,74.0,74.0,75.0,75.0,75.0,76.0,76.0,78.0,78.0,77.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,90.0,90.0,89.0,88.0,87.0,86.0,85.0,84.0,83.0,84.0,89.0,88.0,84.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,30.0,31.0,33.0,35.0,36.0,38.0,40.0,41.0,42.0,44.0,45.0,46.0,47.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,55.0,56.0,57.0,58.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,68.0,69.0,69.0,70.0,70.0,71.0,71.0,72.0,73.0,73.0,74.0,74.0,75.0
GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0249709056666667,,,,,,,,,,,,,,,,,46.0,73.0,73.0,73.0,74.0,74.0,75.0,75.0,76.0,76.0,76.0,76.0,76.0,75.0,76.0,77.0,77.0,77.0,77.0,78.0,78.0,77.0,76.0,75.0,78.0,72.0,72.0,72.0,72.0,72.0,73.0,74.0,74.0,74.0,74.0,74.0,74.0,70.0,74.0,76.0,78.0,78.0,76.0,82.0,80.0,77.0,74.0,70.0,80.0,87.0,88.0,89.0,89.0,90.0,91.0,91.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,92.0,92.0,92.0,61.0,62.0,62.0,63.0,64.0,64.0,65.0,65.0,66.0,66.0,66.0,67.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,73.0,73.0,73.0,73.0,73.0,74.0,73.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,75.0,75.0,75.0,74.0,74.0,74.0,74.0
GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.766936557222223,,,,,,,,,,,13.392847251949998,,,22.747615554272727,,,,,,,,,17.92702265985,,62.0,56.0,56.0,56.0,57.0,57.0,57.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,59.0,57.0,58.0,56.0,56.0,57.0,59.0,61.0,59.0,59.0,58.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,43.0,37.0,40.0,33.0,33.0,35.0,39.0,44.0,40.0,39.0,36.0,61.0,61.0,61.0,62.0,63.0,63.0,64.0,64.0,65.0,65.0,65.0,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,70.0,71.0,63.0,63.0,63.0,64.0,64.0,65.0,65.0,66.0,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0,63.0,63.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,62.0,62.0,63.0,64.0,64.0,64.0,64.0,64.0,65.0,65.0
GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,68.0,69.0,70.0,70.0,71.0,73.0,73.0,74.0,78.0,80.0,80.0,76.0,73.0,53.0,52.0,51.0,51.0,50.0,50.0,49.0,48.0,48.0,47.0,45.0,59.0,60.0,61.0,62.0,65.0,68.0,70.0,73.0,85.0,93.0,92.0,77.0,64.0,76.0,76.0,76.0,77.0,79.0,80.0,80.0,81.0,82.0,82.0,83.0,84.0,84.0,85.0,86.0,86.0,87.0,88.0,88.0,89.0,90.0,90.0,91.0,91.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,64.0,65.0,65.0,66.0,67.0,67.0,67.0,68.0,68.0,69.0,69.0,69.0,69.0,68.0,67.0,66.0,65.0,64.0,63.0,63.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0
HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6265283481,,,,,,,,,,,,,,,,,,,,,85.0,56.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,58.0,59.0,59.0,60.0,61.0,61.0,64.0,65.0,63.0,60.0,64.0,65.0,64.0,64.0,64.0,36.0,36.0,35.0,34.0,33.0,33.0,32.0,31.0,30.0,30.0,31.0,30.0,32.0,33.0,32.0,37.0,40.0,35.0,28.0,35.0,36.0,35.0,35.0,33.0,63.0,64.0,65.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,68.0,69.0,69.0,70.0,70.0,70.0,71.0,71.0,72.0,72.0,73.0,73.0,73.0,74.0,74.0,74.0,75.0,75.0,75.0,75.0,76.0,76.0,76.0,76.0,65.0,65.0,65.0,65.0,65.0,66.0,66.0,68.0,69.0,70.0,72.0,73.0,74.0,74.0,75.0,75.0,76.0,76.0,77.0,77.0,76.0,76.0,76.0,76.0
HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.413900487588236,8.273744162444444,,,,,9.54048778668421,,,,10.9904067049,10.69429777605,7.918693606300001,,,,,,,,,,,,,,,69.0,69.0,69.0,70.0,70.0,71.0,71.0,72.0,72.0,73.0,73.0,74.0,74.0,74.0,75.0,73.0,73.0,74.0,74.0,75.0,75.0,76.0,76.0,76.0,76.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,87.0,90.0,89.0,89.0,90.0,92.0,92.0,91.0,91.0,91.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,45.0,46.0,46.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,49.0,50.0,50.0,50.0,51.0,51.0,51.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,63.0,64.0,65.0,66.0,66.0,67.0,68.0,69.0,69.0,70.0,71.0,72.0,73.0,73.0
HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.827735874444443,23.149971437533335,,,,,,,,,,,,50.0,32.0,33.0,34.0,34.0,35.0,35.0,36.0,37.0,37.0,38.0,38.0,38.0,39.0,39.0,41.0,40.0,41.0,41.0,41.0,41.0,42.0,44.0,44.0,44.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,31.0,31.0,35.0,31.0,35.0,35.0,35.0,36.0,38.0,44.0,46.0,45.0,18.0,19.0,20.0,21.0,21.0,22.0,23.0,23.0,24.0,24.0,25.0,25.0,26.0,26.0,27.0,27.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0,64.0,65.0,65.0,65.0,66.0,66.0,66.0,67.0,67.0,67.0,67.0,66.0,66.0,66.0,66.0,66.0,65.0,65.0,65.0,64.0,64.0,64.0,64.0,63.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,43.0,44.0,45.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0
HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3746972670625,,,,,8.6887871399375,8.118464773363636,10.696086672,12.1133810788,12.35437730325,16.683644965375,15.495643701437501,15.194024542187499,14.502458414,16.47179919475,,,,,,,,,,,,,,,,,,54.0,73.0,74.0,74.0,74.0,75.0,75.0,75.0,76.0,76.0,76.0,77.0,79.0,78.0,80.0,79.0,80.0,80.0,80.0,79.0,79.0,79.0,80.0,80.0,80.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,95.0,93.0,99.0,94.0,95.0,95.0,94.0,88.0,88.0,87.0,89.0,89.0,89.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,43.0,44.0,44.0,45.0,46.0,46.0,47.0,48.0,48.0,49.0,49.0,50.0,51.0,51.0,52.0,52.0,53.0,53.0,54.0,54.0,55.0,55.0,55.0,56.0,79.0,79.0,79.0,79.0,79.0,80.0,80.0,80.0,80.0,81.0,81.0,81.0,81.0,82.0,82.0,82.0,83.0,83.0,83.0,84.0,84.0,84.0,84.0,84.0
IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.768428643333337,28.94609639388889,45.29165198805,41.3969281674,,40.0675543189,37.7017064095,36.273749744999996,37.43070235845,,32.7253379942,31.954740101,30.4979033231,28.92962125545,29.953739160399998,31.565355926749998,31.566570872545455,31.172493793909094,31.283165222499996,29.251348441750004,25.7096352637,27.282656669545453,27.13541029085,25.5510655611,24.7847720743,,64.0,44.0,45.0,46.0,46.0,47.0,48.0,49.0,49.0,50.0,51.0,51.0,52.0,54.0,56.0,58.0,59.0,60.0,63.0,63.0,65.0,66.0,66.0,68.0,67.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,36.0,35.0,34.0,34.0,38.0,42.0,47.0,51.0,51.0,61.0,62.0,69.0,74.0,72.0,77.0,71.0,41.0,43.0,45.0,47.0,49.0,51.0,53.0,55.0,57.0,59.0,61.0,63.0,65.0,67.0,69.0,71.0,74.0,76.0,78.0,80.0,82.0,84.0,85.0,87.0,38.0,38.0,39.0,39.0,40.0,40.0,41.0,41.0,42.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,71.0,71.0,71.0,71.0,72.0,73.0,73.0,74.0,75.0,76.0,78.0,78.0,80.0,80.0,80.0,80.0,79.0,79.0,78.0,78.0,77.0,76.0,78.0,77.0
IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.14424209595,37.876802877818186,,36.62292038309091,34.66123000054545,,37.232654658363636,32.55449563809091,,36.20408474327273,,38.203360557454545,,,,,,,,,,,27.734509611100002,,,93.0,31.0,34.0,36.0,38.0,41.0,43.0,45.0,47.0,49.0,51.0,53.0,54.0,56.0,57.0,60.0,62.0,63.0,64.0,63.0,65.0,66.0,67.0,68.0,69.0,54.0,54.0,54.0,54.0,60.0,61.0,61.0,62.0,62.0,63.0,64.0,65.0,70.0,66.0,72.0,74.0,76.0,75.0,66.0,70.0,73.0,75.0,76.0,77.0,15.0,17.0,20.0,23.0,26.0,28.0,31.0,34.0,37.0,40.0,42.0,45.0,48.0,51.0,54.0,57.0,60.0,63.0,66.0,69.0,72.0,75.0,78.0,81.0,20.0,22.0,24.0,26.0,28.0,30.0,32.0,34.0,36.0,37.0,39.0,40.0,42.0,43.0,45.0,46.0,47.0,48.0,50.0,51.0,51.0,52.0,53.0,53.0,64.0,64.0,64.0,65.0,66.0,67.0,67.0,68.0,70.0,71.0,72.0,73.0,71.0,72.0,73.0,73.0,74.0,73.0,72.0,71.0,70.0,69.0,69.0,70.0
IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.194329183888889,,,,,,,,,,7.1970978163636365,,,,,,,,,,,,,,,,62.0,72.0,73.0,73.0,74.0,75.0,75.0,76.0,76.0,77.0,77.0,78.0,78.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,82.0,81.0,82.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,92.0,91.0,91.0,90.0,89.0,88.0,88.0,86.0,86.0,87.0,82.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,43.0,45.0,46.0,47.0,49.0,50.0,51.0,53.0,54.0,55.0,56.0,56.0,57.0,58.0,59.0,60.0,60.0,61.0,62.0,62.0,63.0,63.0,64.0,64.0,86.0,87.0,87.0,87.0,88.0,88.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,90.0
IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2880481005,21.42388941045,,,20.5385620594,,,,16.21819664235,,,20.596588897700002,17.527836000900002,16.7843878389,17.0313812136,16.57451376925,17.01418371205,14.89816714525,,,77.0,68.0,69.0,69.0,69.0,70.0,70.0,70.0,71.0,72.0,72.0,73.0,73.0,76.0,77.0,77.0,77.0,78.0,78.0,79.0,80.0,80.0,81.0,81.0,81.0,60.0,60.0,60.0,60.0,60.0,59.0,59.0,60.0,62.0,62.0,65.0,62.0,74.0,76.0,74.0,74.0,76.0,77.0,79.0,81.0,83.0,84.0,86.0,86.0,78.0,79.0,80.0,80.0,81.0,82.0,82.0,83.0,84.0,84.0,85.0,86.0,86.0,87.0,87.0,88.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,67.0,68.0,69.0,69.0,70.0,70.0,70.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,79.0,79.0,78.0,78.0,78.0,77.0,77.0,77.0,77.0,76.0,76.0,76.0,76.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,78.0,78.0,78.0
IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.417422148736842,,,,,,15.124268919150001,,,,,31.521822161277775,,,,,,,,46.0,61.0,61.0,62.0,62.0,63.0,63.0,63.0,63.0,64.0,64.0,64.0,67.0,68.0,69.0,68.0,67.0,67.0,67.0,66.0,66.0,67.0,64.0,66.0,64.0,54.0,54.0,54.0,54.0,54.0,53.0,54.0,53.0,52.0,51.0,51.0,59.0,62.0,67.0,63.0,59.0,59.0,61.0,60.0,57.0,62.0,54.0,62.0,55.0,71.0,71.0,72.0,72.0,73.0,74.0,76.0,78.0,80.0,81.0,83.0,85.0,86.0,88.0,90.0,92.0,94.0,95.0,97.0,98.0,98.0,98.0,98.0,98.0,57.0,58.0,58.0,59.0,59.0,60.0,60.0,61.0,61.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,65.0,65.0,66.0,66.0,66.0,65.0,66.0,66.0,65.0,66.0,64.0,62.0,60.0,58.0,57.0,55.0,53.0,52.0,51.0,50.0,50.0,50.0
ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.213801013000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,80.0,80.0,81.0,82.0,82.0,83.0,83.0,84.0,84.0,85.0,85.0,86.0,88.0,88.0,89.0,89.0,88.0,88.0,90.0,90.0,90.0,90.0,90.0,90.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,92.0,93.0,94.0,92.0,90.0,90.0,94.0,94.0,93.0,91.0,92.0,90.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,55.0,57.0,58.0,60.0,62.0,64.0,66.0,67.0,69.0,70.0,71.0,73.0,74.0,75.0,76.0,77.0,78.0,78.0,79.0,80.0,80.0,81.0,82.0,82.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,89.0,89.0,88.0,89.0,89.0,89.0,89.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0
ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.08988511575,12.984412670000001,13.73517787475,13.48516392675,13.856789708,14.009759902999999,14.109576881,14.12026393425,14.487758458,12.686190605250001,14.10252720125,12.894938051499999,13.129350006500001,14.785431861749998,13.714237213,13.5670279265,13.37350571175,13.06470608725,13.64585196975,12.5155415535,12.4302891495,,,,62.0,76.0,77.0,77.0,78.0,78.0,78.0,78.0,79.0,79.0,79.0,80.0,80.0,81.0,81.0,82.0,82.0,82.0,84.0,85.0,84.0,84.0,85.0,85.0,85.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,83.0,85.0,86.0,88.0,89.0,89.0,93.0,97.0,95.0,95.0,95.0,95.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.0,55.0,56.0,56.0,57.0,58.0,58.0,59.0,60.0,60.0,61.0,61.0,62.0,62.0,63.0,63.0,63.0,64.0,64.0,65.0,65.0,65.0,66.0,66.0,77.0,77.0,78.0,78.0,79.0,79.0,79.0,79.0,80.0,80.0,80.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,82.0,83.0,83.0
ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.250526719555555,,,,,,,,,9.647265632888889,,,,,,,,,,,,,,,77.0,74.0,75.0,76.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,80.0,80.0,81.0,81.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,82.0,82.0,82.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,96.0,95.0,95.0,94.0,90.0,89.0,89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,53.0,54.0,54.0,55.0,56.0,57.0,57.0,58.0,59.0,59.0,60.0,60.0,61.0,61.0,61.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,64.0,65.0,66.0,67.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,76.0,77.0,78.0,78.0,78.0,78.0,79.0,79.0,80.0,80.0,80.0,81.0
